name,ipv4-address,groups,color,tags
h_139.59.108.31_CVE-2021-44228,139.59.108.31,groupname,red,CVE-2021-44228_Log4J
h_139.59.103.254_CVE-2021-44228,139.59.103.254,groupname,red,CVE-2021-44228_Log4J
h_139.59.101.242_CVE-2021-44228,139.59.101.242,groupname,red,CVE-2021-44228_Log4J
h_139.59.99.80_CVE-2021-44228,139.59.99.80,groupname,red,CVE-2021-44228_Log4J
h_139.59.97.205_CVE-2021-44228,139.59.97.205,groupname,red,CVE-2021-44228_Log4J
h_139.59.96.42_CVE-2021-44228,139.59.96.42,groupname,red,CVE-2021-44228_Log4J
h_139.28.219.109_CVE-2021-44228,139.28.219.109,groupname,red,CVE-2021-44228_Log4J
h_139.28.218.134_CVE-2021-44228,139.28.218.134,groupname,red,CVE-2021-44228_Log4J
h_139.28.218.133_CVE-2021-44228,139.28.218.133,groupname,red,CVE-2021-44228_Log4J
h_139.28.218.132_CVE-2021-44228,139.28.218.132,groupname,red,CVE-2021-44228_Log4J
h_138.199.21.10_CVE-2021-44228,138.199.21.10,groupname,red,CVE-2021-44228_Log4J
h_138.199.21.9_CVE-2021-44228,138.199.21.9,groupname,red,CVE-2021-44228_Log4J
h_138.197.216.230_CVE-2021-44228,138.197.216.230,groupname,red,CVE-2021-44228_Log4J
h_138.197.193.220_CVE-2021-44228,138.197.193.220,groupname,red,CVE-2021-44228_Log4J
h_138.197.167.229_CVE-2021-44228,138.197.167.229,groupname,red,CVE-2021-44228_Log4J
h_138.197.108.154_CVE-2021-44228,138.197.108.154,groupname,red,CVE-2021-44228_Log4J
h_138.197.106.234_CVE-2021-44228,138.197.106.234,groupname,red,CVE-2021-44228_Log4J
h_138.197.72.76_CVE-2021-44228,138.197.72.76,groupname,red,CVE-2021-44228_Log4J
h_138.197.9.239_CVE-2021-44228,138.197.9.239,groupname,red,CVE-2021-44228_Log4J
h_138.68.250.214_CVE-2021-44228,138.68.250.214,groupname,red,CVE-2021-44228_Log4J
h_138.68.155.222_CVE-2021-44228,138.68.155.222,groupname,red,CVE-2021-44228_Log4J
h_134.209.82.14_CVE-2021-44228,134.209.82.14,groupname,red,CVE-2021-44228_Log4J
h_134.209.24.42_CVE-2021-44228,134.209.24.42,groupname,red,CVE-2021-44228_Log4J
h_131.100.148.7_CVE-2021-44228,131.100.148.7,groupname,red,CVE-2021-44228_Log4J
h_128.199.222.221_CVE-2021-44228,128.199.222.221,groupname,red,CVE-2021-44228_Log4J
h_128.199.15.215_CVE-2021-44228,128.199.15.215,groupname,red,CVE-2021-44228_Log4J
h_128.31.0.13_CVE-2021-44228,128.31.0.13,groupname,red,CVE-2021-44228_Log4J
h_124.224.87.11_CVE-2021-44228,124.224.87.11,groupname,red,CVE-2021-44228_Log4J
h_123.60.215.208_CVE-2021-44228,123.60.215.208,groupname,red,CVE-2021-44228_Log4J
h_122.155.174.180_CVE-2021-44228,122.155.174.180,groupname,red,CVE-2021-44228_Log4J
h_121.36.213.142_CVE-2021-44228,121.36.213.142,groupname,red,CVE-2021-44228_Log4J
h_121.5.113.11_CVE-2021-44228,121.5.113.11,groupname,red,CVE-2021-44228_Log4J
h_120.211.140.116_CVE-2021-44228,120.211.140.116,groupname,red,CVE-2021-44228_Log4J
h_120.195.30.152_CVE-2021-44228,120.195.30.152,groupname,red,CVE-2021-44228_Log4J
h_117.192.11.154_CVE-2021-44228,117.192.11.154,groupname,red,CVE-2021-44228_Log4J
h_116.89.189.30_CVE-2021-44228,116.89.189.30,groupname,red,CVE-2021-44228_Log4J
h_116.89.189.19_CVE-2021-44228,116.89.189.19,groupname,red,CVE-2021-44228_Log4J
h_116.62.20.122_CVE-2021-44228,116.62.20.122,groupname,red,CVE-2021-44228_Log4J
h_115.151.229.39_CVE-2021-44228,115.151.229.39,groupname,red,CVE-2021-44228_Log4J
h_115.151.229.27_CVE-2021-44228,115.151.229.27,groupname,red,CVE-2021-44228_Log4J
h_115.151.229.16_CVE-2021-44228,115.151.229.16,groupname,red,CVE-2021-44228_Log4J
h_115.151.229.14_CVE-2021-44228,115.151.229.14,groupname,red,CVE-2021-44228_Log4J
h_115.151.228.146_CVE-2021-44228,115.151.228.146,groupname,red,CVE-2021-44228_Log4J
h_115.151.228.95_CVE-2021-44228,115.151.228.95,groupname,red,CVE-2021-44228_Log4J
h_115.151.228.92_CVE-2021-44228,115.151.228.92,groupname,red,CVE-2021-44228_Log4J
h_115.151.228.83_CVE-2021-44228,115.151.228.83,groupname,red,CVE-2021-44228_Log4J
h_115.151.228.64_CVE-2021-44228,115.151.228.64,groupname,red,CVE-2021-44228_Log4J
h_115.151.228.18_CVE-2021-44228,115.151.228.18,groupname,red,CVE-2021-44228_Log4J
h_114.112.161.155_CVE-2021-44228,114.112.161.155,groupname,red,CVE-2021-44228_Log4J
h_113.141.64.14_CVE-2021-44228,113.141.64.14,groupname,red,CVE-2021-44228_Log4J
h_113.98.224.68_CVE-2021-44228,113.98.224.68,groupname,red,CVE-2021-44228_Log4J
