name,ipv4-address,groups,color,tags
h_167.99.88.151_CVE-2021-44228,167.99.88.151,groupname,red,CVE-2021-44228_Log4J
h_167.86.70.252_CVE-2021-44228,167.86.70.252,groupname,red,CVE-2021-44228_Log4J
h_157.245.129.50_CVE-2021-44228,157.245.129.50,groupname,red,CVE-2021-44228_Log4J
h_147.182.154.110_CVE-2021-44228,147.182.154.110,groupname,red,CVE-2021-44228_Log4J
h_157.245.111.218_CVE-2021-44228,157.245.111.218,groupname,red,CVE-2021-44228_Log4J
h_137.184.104.73_CVE-2021-44228,137.184.104.73,groupname,red,CVE-2021-44228_Log4J
h_178.128.232.114_CVE-2021-44228,178.128.232.114,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.8_CVE-2021-44228,139.177.178.8,groupname,red,CVE-2021-44228_Log4J
h_138.68.250.214_CVE-2021-44228,138.68.250.214,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.64_CVE-2021-44228,159.89.154.64,groupname,red,CVE-2021-44228_Log4J
h_138.197.216.230_CVE-2021-44228,138.197.216.230,groupname,red,CVE-2021-44228_Log4J
h_167.71.4.81_CVE-2021-44228,167.71.4.81,groupname,red,CVE-2021-44228_Log4J
h_167.86.114.20_CVE-2021-44228,167.86.114.20,groupname,red,CVE-2021-44228_Log4J
h_159.89.150.150_CVE-2021-44228,159.89.150.150,groupname,red,CVE-2021-44228_Log4J
h_143.110.221.219_CVE-2021-44228,143.110.221.219,groupname,red,CVE-2021-44228_Log4J
h_159.89.146.147_CVE-2021-44228,159.89.146.147,groupname,red,CVE-2021-44228_Log4J
h_5.254.43.59_CVE-2021-44228,5.254.43.59,groupname,red,CVE-2021-44228_Log4J
h_68.183.35.171_CVE-2021-44228,68.183.35.171,groupname,red,CVE-2021-44228_Log4J
h_68.183.207.73_CVE-2021-44228,68.183.207.73,groupname,red,CVE-2021-44228_Log4J
h_199.195.253.162_CVE-2021-44228,199.195.253.162,groupname,red,CVE-2021-44228_Log4J
h_137.184.101.21_CVE-2021-44228,137.184.101.21,groupname,red,CVE-2021-44228_Log4J
h_138.197.193.220_CVE-2021-44228,138.197.193.220,groupname,red,CVE-2021-44228_Log4J
h_95.214.54.97_CVE-2021-44228,95.214.54.97,groupname,red,CVE-2021-44228_Log4J
h_210.217.18.86_CVE-2021-44228,210.217.18.86,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.77_CVE-2021-44228,159.89.154.77,groupname,red,CVE-2021-44228_Log4J
h_167.99.172.99_CVE-2021-44228,167.99.172.99,groupname,red,CVE-2021-44228_Log4J
h_188.166.76.204_CVE-2021-44228,188.166.76.204,groupname,red,CVE-2021-44228_Log4J
h_137.184.102.188_CVE-2021-44228,137.184.102.188,groupname,red,CVE-2021-44228_Log4J
h_165.232.80.22_CVE-2021-44228,165.232.80.22,groupname,red,CVE-2021-44228_Log4J
h_203.27.106.141_CVE-2021-44228,203.27.106.141,groupname,red,CVE-2021-44228_Log4J
h_137.184.28.58_CVE-2021-44228,137.184.28.58,groupname,red,CVE-2021-44228_Log4J
h_161.35.84.46_CVE-2021-44228,161.35.84.46,groupname,red,CVE-2021-44228_Log4J
h_159.65.60.100_CVE-2021-44228,159.65.60.100,groupname,red,CVE-2021-44228_Log4J
h_165.227.37.189_CVE-2021-44228,165.227.37.189,groupname,red,CVE-2021-44228_Log4J
h_91.207.174.157_CVE-2021-44228,91.207.174.157,groupname,red,CVE-2021-44228_Log4J
h_188.166.106.194_CVE-2021-44228,188.166.106.194,groupname,red,CVE-2021-44228_Log4J
h_142.93.157.150_CVE-2021-44228,142.93.157.150,groupname,red,CVE-2021-44228_Log4J
h_167.99.164.201_CVE-2021-44228,167.99.164.201,groupname,red,CVE-2021-44228_Log4J
h_165.22.222.120_CVE-2021-44228,165.22.222.120,groupname,red,CVE-2021-44228_Log4J
h_113.142.178.230_CVE-2021-44228,113.142.178.230,groupname,red,CVE-2021-44228_Log4J
h_134.209.82.14_CVE-2021-44228,134.209.82.14,groupname,red,CVE-2021-44228_Log4J
h_138.68.167.19_CVE-2021-44228,138.68.167.19,groupname,red,CVE-2021-44228_Log4J
h_37.19.213.149_CVE-2021-44228,37.19.213.149,groupname,red,CVE-2021-44228_Log4J
h_178.62.32.211_CVE-2021-44228,178.62.32.211,groupname,red,CVE-2021-44228_Log4J
h_146.59.45.142_CVE-2021-44228,146.59.45.142,groupname,red,CVE-2021-44228_Log4J
h_68.183.192.239_CVE-2021-44228,68.183.192.239,groupname,red,CVE-2021-44228_Log4J
h_116.206.231.54_CVE-2021-44228,116.206.231.54,groupname,red,CVE-2021-44228_Log4J
h_107.189.29.103_CVE-2021-44228,107.189.29.103,groupname,red,CVE-2021-44228_Log4J
h_134.122.33.6_CVE-2021-44228,134.122.33.6,groupname,red,CVE-2021-44228_Log4J
